<UNK> 1.0	SPN
<SIL> 1.0	SIL
A 1.0	-A
AI 1.0	-A J
AM 1.0	-A T
AN 1.0	-A N
ANG 1.0	-A G
ANH 1.0	-A K
AO 1.0	-A JK
AU 1.0	-A JG
BA 1.0	P -A
BAI 1.0	P -A J
BAN 1.0	P -A N
BANG 1.0	P -A G
BANH 1.0	P -A K
BAO 1.0	P -A JK
BAY 1.0	P -A JN
BE 1.0	P -E
BEM 1.0	P -E T
BEN 1.0	P -E N
BENG 1.0	P -E G
BEO 1.0	P -E JK
BI 1.0	P *-I
BIA 1.0	P -IE
BIN 1.0	P *-I N
BINH 1.0	P *-I K
BIÊN 1.0	P -IE N
BIẾC 1.0	P -SIE NK
BIẾM 1.0	P -SIE T
BIẾN 1.0	P -SIE N
BIẾNG 1.0	P -SIE G
BIẾT 1.0	P -SIE NT
BIẾU 1.0	P -SIE JG
BIỀN 1.0	P -HIE N
BIỂN 1.0	P -HSIE N
BIỂU 1.0	P -HSIE JG
BIỆN 1.0	P N-IE N
BIỆT 1.0	P N-IE NT
BO 1.0	P -O
BOA 1.0	P -U
BOM 1.0	P -O T
BON 1.0	P -O N
BONG 1.0	P -O G
BOONG 1.0	P *-O G
BU 1.0	P -IU
BUA 1.0	P -UO
BUNG 1.0	P -IU G
BUÔN 1.0	P -UO N
BUÔNG 1.0	P -UO G
BUÝT 1.0	P -SUY NT
BUỐT 1.0	P -SUO NT
BUỒI 1.0	P -HUO J
BUỒM 1.0	P -HUO T
BUỒN 1.0	P -HUO N
BUỒNG 1.0	P -HUO G
BUỔI 1.0	P -HSUO J
BUỘC 1.0	P N-UO NK
BUỘI 1.0	P N-UO J
BUỘM 1.0	P N-UO T
BUỘT 1.0	P N-UO NT
BÀ 1.0	P -HA
BÀI 1.0	P -HA J
BÀN 1.0	P -HA N
BÀNG 1.0	P -HA G
BÀNH 1.0	P -HA K
BÀO 1.0	P -HA JK
BÀU 1.0	P -HA JG
BÀY 1.0	P -HA JN
BÁ 1.0	P -SA
BÁC 1.0	P -SA NK
BÁCH 1.0	P -SA GK
BÁI 1.0	P -SA J
BÁM 1.0	P -SA T
BÁN 1.0	P -SA N
BÁNG 1.0	P -SA G
BÁNH 1.0	P -SA K
BÁO 1.0	P -SA JK
BÁT 1.0	P -SA NT
BÁU 1.0	P -SA JG
BÂN 1.0	P *-W N
BÂNG 1.0	P *-W G
BÂU 1.0	P *-W JG
BÂY 1.0	P *-W JN
BÃ 1.0	P N-SA
BÃI 1.0	P N-SA J
BÃO 1.0	P N-SA JK
BÈ 1.0	P -HE
BÈM 1.0	P -HE T
BÈN 1.0	P -HE N
BÈO 1.0	P -HE JK
BÉ 1.0	P -SE
BÉC 1.0	P -SE NK
BÉN 1.0	P -SE N
BÉNG 1.0	P -SE G
BÉO 1.0	P -SE JK
BÉP 1.0	P -SE TK
BÉT 1.0	P -SE NT
BÊ 1.0	P -OE
BÊN 1.0	P -OE N
BÊNH 1.0	P -OE K
BÊU 1.0	P -OE JG
BÌ 1.0	P -H*I
BÌA 1.0	P -HIE
BÌM 1.0	P -H*I T
BÌNH 1.0	P -H*I K
BÌU 1.0	P -H*I JG
BÍ 1.0	P -S*I
BÍCH 1.0	P -S*I GK
BÍM 1.0	P -S*I T
BÍNH 1.0	P -S*I K
BÍP 1.0	P -S*I TK
BÍT 1.0	P -S*I NT
BÍU 1.0	P -S*I JG
BÒ 1.0	P -HO
BÒN 1.0	P -HO N
BÒNG 1.0	P -HO G
BÓ 1.0	P -SO
